Taxon,Mnemonic,Scientific name,Common name,Synonym,Other Names,Reviewed,Rank,Lineage,Parent,Virus hosts,Organism,Genus,Species,Solanaceae
3755,PRUDU,Prunus dulcis,Almond,Amygdalus dulcis,Amygdalus communis; Amygdalus communis L.; Prunus amygdalus; Prunus amygdalus Batsch; Prunus communis; Prunus communis (L.) Arcang.; Prunus dulcis (Mill.) D.A.Webb; Prunus dulcis var. sativa; sweet almond,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Amygdaloideae; Amygdaleae; Prunus,3754.0,,Prunus dulcis (Almond) (Amygdalus dulcis),Prunus,dulcis,0
3760,PRUPE,Prunus persica,Peach,Amygdalus persica,Persica vulgaris; Persica vulgaris Mill.; Prunus persica (L.) Batsch; Prunus persica var densa; Prunus persica var. densa; Prunus persica var. densa Makino,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Amygdaloideae; Amygdaleae; Prunus,3754.0,,Prunus persica (Peach) (Amygdalus persica),Prunus,persica,0
74649,ROSCH,Rosa chinensis,China rose,,"Rosa chinensis Jacq.; Rosa chinesis; Rosa indica auct., non L.",reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Rosoideae; Rosoideae unplaced; Rosa,3764.0,,Rosa chinensis (China rose),Rosa,chinensis,0
3702,ARATH,Arabidopsis thaliana,Mouse-ear cress,,Arabidopsis thaliana (L.) Heynh.; Arabidopsis thaliana (thale cress); Arabidopsis_thaliana; Arbisopsis thaliana; thale cress; thale kress; thale-cress,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis,3701.0,,Arabidopsis thaliana (Mouse-ear cress),Arabidopsis,thaliana,0
81972,ARALL,Arabidopsis lyrata subsp. lyrata,Lyre-leaved rock-cress,,Arabis lyrata; Arabis lyrata subsp. lyrata; Cardaminopsis lyrata,reviewed,Subspecies,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis,59689.0,,Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),Arabidopsis,lyrata,0
81985,,Capsella rubella,,,Capsella rubella Reut.,annotated,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Capsella,3718.0,,Capsella rubella,Capsella,rubella,0
3711,BRACM,Brassica campestris,Field mustard,,Brassica rapa; Brassica rapa L.,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Brassiceae; Brassica,3705.0,,Brassica campestris (Field mustard),Brassica,campestris,0
51351,BRARP,Brassica rapa subsp. pekinensis,Chinese cabbage,Brassica pekinensis,Brassica campestris (Pekinensis Group); Brassica campestris ssp. pekinensis; Brassica campestris subsp. pekinensis; Brassica campestris subsp. pekinensis (Lour.) G.Olsson; Brassica campestris var. pekinensis; Brassica rapa Chinese Cabbage Group; Brassica rapa ssp. pekinensis; Brassica rapa subsp. pekinensis (Lour.) Hanelt ex Mansf.; Brassica rapa var. glabra; Brassica rapa var. glabra Regel; Brassica rapa var. pekinensis; bai cai; celery cabbage; pe-tsai,reviewed,Subspecies,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Brassiceae; Brassica,3711.0,,Brassica rapa subsp. pekinensis (Chinese cabbage) (Brassica pekinensis),Brassica,rapa,0
3712,BRAOL,Brassica oleracea,Wild cabbage,,"Brassica oleracea L., 1753",reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Brassiceae; Brassica,3705.0,,Brassica oleracea (Wild cabbage),Brassica,oleracea,0
109376,,Brassica oleracea var. oleracea,,,Brassica oleracea subsp. oleracea,annotated,Varietas,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Brassiceae; Brassica,3712.0,,Brassica oleracea var. oleracea,Brassica,oleracea,0
